date,dock,forecast
2025/4/9,Hong Kong International Airport,60702.32592
2025/4/10,Hong Kong International Airport,61560.47181
2025/4/11,Hong Kong International Airport,66780.75709
2025/4/12,Hong Kong International Airport,66173.08541
2025/4/13,Hong Kong International Airport,73428.84949
2025/4/14,Hong Kong International Airport,68825.83424
2025/4/15,Hong Kong International Airport,60616.01703
2025/4/16,Hong Kong International Airport,60175.33233
2025/4/17,Hong Kong International Airport,61376.78837
2025/4/18,Hong Kong International Airport,66639.09594
2025/4/19,Hong Kong International Airport,66069.62049
2025/4/20,Hong Kong International Airport,73360.10308
2025/4/21,Hong Kong International Airport,68788.64528
2025/4/22,Hong Kong International Airport,60607.51225
2025/4/23,Hong Kong International Airport,60192.90008
2025/4/24,Hong Kong International Airport,61418.0548
2025/4/25,Hong Kong International Airport,66701.90331
2025/4/26,Hong Kong International Airport,66152.00753
2025/4/27,Hong Kong International Airport,73460.28709
2025/4/28,Hong Kong International Airport,68905.00587
2025/4/29,Hong Kong International Airport,60738.57658
2025/4/30,Hong Kong International Airport,60337.32938
2025/5/1,Hong Kong International Airport,61574.63222
2025/5/2,Hong Kong International Airport,66869.52277
2025/5/3,Hong Kong International Airport,66329.66368
2025/5/4,Hong Kong International Airport,73647.06609
2025/5/5,Hong Kong International Airport,69100.07712
2025/5/6,Hong Kong International Airport,60941.18506
2025/5/7,Hong Kong International Airport,60546.78886
2025/5/8,Hong Kong International Airport,61790.3189
2025/4/9,Hong Kong-Zhuhai-Macao Bridge,32622.75136
2025/4/10,Hong Kong-Zhuhai-Macao Bridge,34736.38339
2025/4/11,Hong Kong-Zhuhai-Macao Bridge,39343.11785
2025/4/12,Hong Kong-Zhuhai-Macao Bridge,45858.18167
2025/4/13,Hong Kong-Zhuhai-Macao Bridge,64273.38754
2025/4/14,Hong Kong-Zhuhai-Macao Bridge,36650.40861
2025/4/15,Hong Kong-Zhuhai-Macao Bridge,32262.41495
2025/4/16,Hong Kong-Zhuhai-Macao Bridge,33601.99089
2025/4/17,Hong Kong-Zhuhai-Macao Bridge,35715.62291
2025/4/18,Hong Kong-Zhuhai-Macao Bridge,40322.35738
2025/4/19,Hong Kong-Zhuhai-Macao Bridge,46837.42119
2025/4/20,Hong Kong-Zhuhai-Macao Bridge,65252.62707
2025/4/21,Hong Kong-Zhuhai-Macao Bridge,37629.64814
2025/4/22,Hong Kong-Zhuhai-Macao Bridge,33241.65448
2025/4/23,Hong Kong-Zhuhai-Macao Bridge,34581.23042
2025/4/24,Hong Kong-Zhuhai-Macao Bridge,36694.86244
2025/4/25,Hong Kong-Zhuhai-Macao Bridge,41301.59691
2025/4/26,Hong Kong-Zhuhai-Macao Bridge,47816.66072
2025/4/27,Hong Kong-Zhuhai-Macao Bridge,66231.8666
2025/4/28,Hong Kong-Zhuhai-Macao Bridge,38608.88766
2025/4/29,Hong Kong-Zhuhai-Macao Bridge,34220.89401
2025/4/30,Hong Kong-Zhuhai-Macao Bridge,35560.46995
2025/5/1,Hong Kong-Zhuhai-Macao Bridge,37674.10197
2025/5/2,Hong Kong-Zhuhai-Macao Bridge,42280.83644
2025/5/3,Hong Kong-Zhuhai-Macao Bridge,48795.90025
2025/5/4,Hong Kong-Zhuhai-Macao Bridge,67211.10613
2025/5/5,Hong Kong-Zhuhai-Macao Bridge,39588.12719
2025/5/6,Hong Kong-Zhuhai-Macao Bridge,35200.13354
2025/5/7,Hong Kong-Zhuhai-Macao Bridge,36539.70948
2025/5/8,Hong Kong-Zhuhai-Macao Bridge,38653.3415
2025/4/9,Lo Wu,81664.7604
2025/4/10,Lo Wu,80837.47867
2025/4/11,Lo Wu,90293.88643
